100: Aaron Eckhart
101: Adrien Brody
102: Jannis Born
103: Alan Rickman
104: Alec Baldwin
105: Alexander Skarsgård
106: Allison Janney
107: Alyson Hannigan
108: Alyssa Milano
109: America Ferrera
110: Andrea Bowen
111: Andy Garcia
112: Angie Harmon
113: Anne Hathaway
114: Anthony Hopkins
115: Ashley Benson
116: Ashley Jones
117: Audra McDonald
118: Ben Affleck
119: Ben McKenzie
120: Ben Stiller
121: Bill Hader
122: Billy Burke
123: Billy Zane
124: Bobbie Eakes
125: Brad Pitt
126: Bradley Cooper
127: Bruce Willis
128: Burt Reynolds
129: Candace Cameron Bure
130: Candice Bergen
131: Caroline Dhavernas
132: Cary Elwes
133: Casey Affleck
134: Charlie Sheen
135: Cheryl Hines
136: Cheryl Ladd
137: Christa Miller
138: Christian Bale
139: Christian Slater
140: Christina Applegate 
141: Christine Lakin
142: Ciara Bravo
143: Colin Farrell
144: Colin Firth
145: Colin Hanks
146: Courteney Cox
147: Dana Delany
148: Daniel Day-Lewis
149: Daniel Radcliffe
150: Danny Masterson
151: David Boreanaz
152: David Schwimmer
153: Debi Mazar
154: Debra Messing
155: Dermot Mulroney
156: Dianna Agron
157: Dustin Hoffman
158: Edie Falco
159: Elizabeth Berkley
160: Emile Hirsch
161: Ethan Hawke
162: Eva Longoria
163: Ewan McGregor
164: Felicity Huffman
165: Fran Drescher
166: Freddy Prinze Jr.
167: Gabriel Macht
168: Gary Oldman
169: Gates McFadden
170: Geena Davis
171: George Clooney
172: George Lopez
173: Gerard Butler
174: Gillian Anderson
175: Glenn Close
176: Heather Locklear
177: Helen Hunt
178: Holly Marie Combs
179: Hugh Grant
180: James Franco
181: James Marsden
182: James McAvoy
183: Jamie Lee Curtis
184: Jane Krakowski
185: Jane Lynch
186: January Jones
187: Jasmine Guy
188: Jason Bateman
189: Jason Behr
190: Jason Biggs
191: Jason Sudeikis
192: Jay Baruchel
193: Jeanne Cooper
194: Jeffrey Tambor
195: Jennette McCurdy
196: Jennie Garth
197: Jennifer Aniston
198: Jeremy Irons
